id,country,code,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013
499,Montenegro,MNE,3.1,1.1,1.9,2.5,4.4,4.2,8.6,10.7,6.9,-5.7,2.5,3.23,-2.5,3.5
504,Morocco,MAR,1.59,7.55,3.32,6.32,4.8,2.98,7.76,2.71,5.59,4.76,3.64,4.99,2.69,4.41
508,Mozambique,MOZ,1.09,11.9,8.82,6.02,8.77,8.67,6.32,7.28,6.83,6.33,7.08,7.32,7.24,7.15
512,Oman,OMN,5.4,7.48,2.57,0.3,3.4,3.99,5.5,6.8,12.8,1.1,5.6,4.49,4.99,5.07
516,Namibia,NAM,3.49,1.18,4.79,4.24,12.27,2.53,7.07,5.37,3.85,-1.46,6.6,6.01,6.69,4.41
524,Nepal,NPL,6.2,4.8,0.12,3.95,4.68,3.48,3.36,3.41,6.1,4.53,4.82,3.42,4.85,3.78
528,Netherlands,NLD,3.94,1.93,0.08,0.34,2.24,2.05,3.39,3.92,1.8,-3.67,1.53,0.94,-1.25,-0.82
548,Vanuatu,VUT,5.92,-3.49,-5.11,4.29,3.98,5.3,8.46,5.18,6.45,3.31,1.63,1.2,1.8,2.8
554,New Zealand,NZL,2.72,3.53,4.81,4.45,3.67,3.51,2.79,2.88,-1.92,-0.11,1.82,2.4,2.31,2.51
558,Nicaragua,NIC,4.1,2.96,0.75,2.52,5.31,4.28,4.15,5.29,2.85,-2.76,3.3,7.33,3.35,4.61
562,Niger,NER,-1.41,7.1,3,5.3,0.1,4.5,5.8,3.15,9.59,-0.71,8.37,2.31,10.83,3.88
566,Nigeria,NGA,5.32,4.41,3.78,10.35,33.74,3.44,8.21,6.83,6.27,6.93,7.84,4.65,6.75,7.31
578,Norway,NOR,3.25,1.99,1.5,0.98,3.96,2.59,2.3,2.65,0.07,-1.63,0.48,1.34,2.9,0.65
584,Marshall Islands,MHL,5.89,5.36,2.62,0.17,-0.06,2.62,1.88,3.05,-1.93,-1.5,5.6,0.8,3.27,0.67
585,Palau,PLW,1.75,2.06,4.84,0.15,8.08,0.76,-1.51,1.85,-5.53,-10.75,3.3,5.33,5.7,-0.33
586,Pakistan,PAK,4.26,1.98,3.22,4.85,7.37,7.67,6.18,4.83,1.7,2.83,1.61,2.79,4.02,6.07
591,Panama,PAN,2.72,0.57,2.23,4.21,7.52,7.19,8.53,12.11,9.15,3.97,5.85,10.77,10.25,8.35
598,Papua New Guinea,PNG,-2.49,-0.12,-0.16,2.16,2.72,3.6,2.58,7.2,6.7,5.5,8,9,8,5.4
600,Paraguay,PRY,-2.31,-0.83,-0.02,4.32,4.06,2.13,4.81,5.42,6.36,-3.97,13.09,4.34,-1.24,13.55
604,Peru,PER,2.95,0.21,5.02,5.16,4.96,6.28,7.53,8.52,9.14,1.05,8.45,6.45,5.95,5.82
608,Philippines,PHL,4.41,2.89,3.65,4.97,6.7,4.78,5.24,6.62,4.15,1.15,7.63,3.64,6.81,7.16
616,Poland,POL,4.26,1.21,1.44,3.87,5.34,3.62,6.23,6.79,5.13,1.79,3.88,4.45,1.91,1.57
620,Portugal,PRT,3.92,1.97,0.76,-0.91,1.56,0.78,1.45,2.37,-0.01,-2.91,1.94,-1.25,-3.23,-1.37
624,Guinea-Bissau,GNB,3.64,7.22,2,-4.94,-0.75,4.92,-1.98,6.04,3.22,3,3.47,5.34,-1.45,0.26
626,Timor-Leste,TLS,13.66,16.34,-6.7,-2.18,0.39,6.54,-3.18,11.62,14.63,12.77,9.49,12.03,8.34,8.11
634,Qatar,QAT,n/a,3.33,7.13,3.49,19.22,7.49,26.17,17.99,17.66,11.96,16.73,14.79,2.56,5.55
642,Romania,ROU,2.1,5.68,5.03,5.15,9.12,4.29,8.72,6.26,7.86,-6.8,-0.94,2.31,0.35,3.5
643,Russian Federation,RUS,10,5.09,4.74,7.3,7.18,6.38,8.15,8.54,5.25,-7.82,4.5,4.26,3.44,1.32
646,Rwanda,RWA,8.32,8.67,13.51,1.45,6.95,9.03,8.55,7.63,11.19,6.25,6.26,7.46,7.31,4.58
659,St Kitts & Nevis,KNA,0.66,5.24,1.91,-1.45,4.36,9.86,4.67,3.9,4.13,-5.6,-3.28,1.79,-1.23,1.95
662,St Lucia,LCA,0.66,-4.8,0.11,4.45,8.4,-1.89,9.29,5.1,4.68,-0.07,-0.73,1.4,-1.28,-0.53
670,St Vincent,VCT,-0.56,1.65,6.26,7.58,4.16,2.46,7.67,3.28,1.64,-2.14,-3.3,-0.37,1.59,2.83
674,San Marino,SMR,2.18,5.61,0.25,3.91,4.61,2.32,3.85,3.49,1.9,n/a,n/a,n/a,n/a,n/a
